W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	ZZ onsite	2	0.96437283	3.56271679e-02	-0.9287456642	-1.0000000000	7.125434e-02	7.672104e-02	130.466175	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	ZZ onsite	2	0.99789594	1.50328001e-02	-0.9287456642	-0.9588112644	3.006560e-02	3.237226e-02	352.693422	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	ZZ onsite	2	0.99999824	4.90210060e-04	-0.9287456642	-0.9297260843	9.804201e-04	1.055639e-03	558.550761	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	ZZ onsite	2	1.00000000	3.70346653e-06	-0.9287456642	-0.9287530711	7.406933e-06	7.975201e-06	558.897996	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	ZZ onsite	2	1.00000000	1.78274044e-06	-0.9287456642	-0.9287492297	3.565481e-06	3.839028e-06	558.898011	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	ZZ onsite	2	1.00000000	3.17437358e-09	-0.9287456642	-0.9287456705	6.348748e-09	6.835831e-09	558.898016	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	ZZ onsite	2	1.00000000	5.22876013e-12	-0.9287456642	-0.9287456642	1.045786e-11	1.126019e-11	558.898016	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	ZZ onsite	2	1.00000000	4.08180434e-15	-0.9287456642	-0.9287456642	2.997602e-15	3.227581e-15	558.898016	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	ZZ onsite	2	0.52638759	4.90424156e-01	-0.9287456642	-0.9456014614	1.685580e-02	1.814899e-02	472.136457	558.898016
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	ZZ up-up nb	2	0.85587455	1.44125450e-01	-0.7117491009	-1.0000000000	2.882509e-01	4.049895e-01	5.777760	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	ZZ up-up nb	2	1.00000000	1.68610781e-05	-0.7117491009	-0.7117828231	3.372216e-05	4.737927e-05	92.262101	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	ZZ up-up nb	2	0.99998181	3.00879732e-03	-0.7117491009	-0.7057315063	-6.017595e-03	8.454657e-03	91.664146	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	ZZ up-up nb	2	1.00000000	1.68230629e-05	-0.7117491009	-0.7117154548	-3.364613e-05	4.727245e-05	92.262101	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	ZZ up-up nb	2	1.00000000	1.83996429e-06	-0.7117491009	-0.7117454210	-3.679929e-06	5.170261e-06	92.262120	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	ZZ up-up nb	2	1.00000000	3.91075208e-09	-0.7117491009	-0.7117490931	-7.821504e-09	1.098913e-08	92.262120	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	ZZ up-up nb	2	1.00000000	2.79393078e-10	-0.7117491009	-0.7117491003	-5.587862e-10	7.850888e-10	92.262120	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	ZZ up-up nb	2	1.00000000	3.43058915e-14	-0.7117491009	-0.7117491009	-6.827872e-14	9.593088e-14	92.262120	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	ZZ up-up nb	2	0.50037267	5.57949174e-01	-0.7117491009	-0.9726132126	2.608641e-01	3.665113e-01	6.958299	92.262120
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	SzSz nb	4	0.75606094	2.92359504e-01	-0.1729362371	-0.2500000000	7.706376e-02	4.456195e-01	2.520722	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	SzSz nb	4	0.96863690	3.09470531e-02	-0.1729362371	-0.1727971138	-1.391232e-04	8.044771e-04	4.044826	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	SzSz nb	4	0.99979618	6.20766724e-03	-0.1729362371	-0.1715447854	-1.391452e-03	8.046039e-03	4.044037	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	SzSz nb	4	0.99999992	8.33839824e-05	-0.1729362371	-0.1729309110	-5.326040e-06	3.079771e-05	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	SzSz nb	4	0.99999994	9.52168237e-06	-0.1729362371	-0.1729367035	4.664287e-07	2.697114e-06	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	SzSz nb	4	1.00000000	3.08210095e-08	-0.1729362371	-0.1729362361	-9.918186e-10	5.735169e-09	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	SzSz nb	4	1.00000000	1.22162224e-09	-0.1729362371	-0.1729362370	-3.060477e-11	1.769714e-10	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	SzSz nb	4	1.00000000	3.78976330e-13	-0.1729362371	-0.1729362371	-6.217249e-15	3.595111e-14	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	SzSz nb	4	0.45161799	6.72550951e-01	-0.1729362371	-0.2397768342	6.684060e-02	3.865043e-01	2.780233	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	SxSx nb	4	0.75606094	2.92359504e-01	-0.1729362371	-0.2500000000	7.706376e-02	4.456195e-01	2.520722	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	SxSx nb	4	0.96863690	3.09470531e-02	-0.1729362371	-0.1727971138	-1.391232e-04	8.044771e-04	4.044826	4.044834
