W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi2	2.2109669652e-02	ZZ onsite	2	0.65264933	3.47350665e-01	-0.3052986700	-1.0000000000	6.947013e-01	2.275481e+00	0.209834	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi4	2.2630989877e-01	ZZ onsite	2	0.99576926	6.05159369e-02	-0.3052986700	-0.4263305439	1.210319e-01	3.964376e-01	4.161294	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi8	9.1915477734e-01	ZZ onsite	2	0.99995063	6.67599767e-03	-0.3052986700	-0.3186506653	1.335200e-02	4.373421e-02	9.962596	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi16	9.8619773686e-01	ZZ onsite	2	0.99999622	1.85141251e-03	-0.3052986700	-0.3090014950	3.702825e-03	1.212853e-02	10.123092	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi32	9.9954952826e-01	ZZ onsite	2	1.00000000	4.33125392e-05	-0.3052986700	-0.3053852951	8.662508e-05	2.837388e-04	10.136691	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi64	9.9998948943e-01	ZZ onsite	2	1.00000000	1.25244480e-06	-0.3052986700	-0.3053011749	2.504890e-06	8.204718e-06	10.136698	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi128	9.9999991415e-01	ZZ onsite	2	1.00000000	1.11397151e-08	-0.3052986700	-0.3052986923	2.227943e-08	7.297585e-08	10.136698	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi256	9.9999999971e-01	ZZ onsite	2	1.00000000	3.89490523e-11	-0.3052986700	-0.3052986701	7.789774e-11	2.551526e-10	10.136698	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	UHF	3.9358103464e-01	ZZ onsite	2	0.92534080	2.20042234e-01	-0.3052986700	-0.1210902655	-1.842084e-01	6.033711e-01	2.343054	10.136698
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi2	2.2109669652e-02	ZZ up-up nb	2	0.77823883	2.21761174e-01	-0.5564776512	-1.0000000000	4.435223e-01	7.970174e-01	1.552407	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi4	2.2630989877e-01	ZZ up-up nb	2	0.77823883	2.21761174e-01	-0.5564776512	-1.0000000000	4.435223e-01	7.970174e-01	1.552407	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi8	9.1915477734e-01	ZZ up-up nb	2	0.99998636	3.07626845e-03	-0.5564776512	-0.5503251143	-6.152537e-03	1.105622e-02	40.675259	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi16	9.8619773686e-01	ZZ up-up nb	2	0.99996371	5.02506086e-03	-0.5564776512	-0.5464275294	-1.005012e-02	1.806024e-02	40.348755	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi32	9.9954952826e-01	ZZ up-up nb	2	0.99999999	7.09640699e-05	-0.5564776512	-0.5563357230	-1.419281e-04	2.550473e-04	40.873410	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi64	9.9998948943e-01	ZZ up-up nb	2	1.00000000	1.62395941e-05	-0.5564776512	-0.5564451720	-3.247919e-05	5.836567e-05	40.873511	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi128	9.9999991415e-01	ZZ up-up nb	2	1.00000000	1.65599303e-07	-0.5564776512	-0.5564773200	-3.311986e-07	5.951696e-07	40.873516	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi256	9.9999999971e-01	ZZ up-up nb	2	1.00000000	1.38776238e-09	-0.5564776512	-0.5564776484	-2.775525e-09	4.987666e-09	40.873516	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	UHF	3.9358103464e-01	ZZ up-up nb	2	0.93712369	2.17890993e-01	-0.5564776512	-0.5030677508	-5.340990e-02	9.597852e-02	29.893382	40.873516
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi2	2.2109669652e-02	SzSz nb	4	0.41679822	6.68578191e-01	-0.0972900645	-0.2500000000	1.527099e-01	1.569635e+00	0.584552	1.943783
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi4	2.2630989877e-01	SzSz nb	4	0.58980815	4.10242848e-01	-0.0972900645	-0.1782913180	8.100125e-02	8.325748e-01	1.175051	1.943783
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi8	9.1915477734e-01	SzSz nb	4	0.99945165	1.28072837e-02	-0.0972900645	-0.0979965264	7.064618e-04	7.261398e-03	1.943687	1.943783
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi16	9.8619773686e-01	SzSz nb	4	0.99954589	1.03702208e-02	-0.0972900645	-0.0970460482	-2.440163e-04	2.508132e-03	1.943772	1.943783
1	14	14	cylinder	true	2.0	-11.2798978271	3.695e-13	chi32	9.9954952826e-01	SzSz nb	4	0.99999962	4.07932178e-04	-0.0972900645	-0.0972967539	6.689346e-06	6.875672e-05	1.943783	1.943783
